name,population_size,speed,average_weight,diet,location
Chihuahua,-,-,2.7kg (6lbs),Omnivore,-
Chimaera,-,-,Up to 5 lbs.,Carnivore,-
Chimpanzee,"100,000 - 200,000",25 mph,26kg - 70kg (57lbs - 154lbs),Omnivore,-
Chinchilla,-,15 mph,400g - 500g (14oz - 18oz),Herbivore,-
Chinese Alligator,"150, maybe even less than 100; conservation status critically endangered",35 mph,80-100 pounds,Carnivore,-
Chinese Crested Dog,-,-,4.5kg (10lbs),Omnivore,-
Chinese Geese,60-90 thousand,-,-,Herbivore,-
Chinese Paddlefish,Unknown,-,Up to 992lbs,Carnivore,-
Chinese Shar-Pei,-,-,44 lbs,Omnivore,-
Chinook,-,-,41kg (90lbs),Omnivore,-
Chinook Salmon,Millions,-,Up to 59kg (130lbs),Carnivore,-
Chinstrap Penguin,-,-,3kg - 6kg (6.6lbs - 13lbs),Carnivore,-
Chipmunk,-,21 mph,57g - 113g (2oz - 4oz),Omnivore,-
Chipoo,-,-,20lbs,Omnivore,-
Chipping Sparrow,200 million,-,-,Omnivore,-
Chiweenie,-,-,10 lbs.,Omnivore,-
Chorkie,-,-,10 lbs,Omnivore,-
Chow Chow,-,-,32kg (70lbs),Omnivore,-
Chow Shepherd,-,-,105 lbs,Omnivore,-
Christmas Island Red Crab,About 44 million,-,17 ounces,Omnivore,-
Cicada,-,-,2g,Herbivore,-
Cichlid,Unknown,-,From less than an ounce to more than 7 pounds,Omnivore,-
Cinereous Vulture,-,-,18 to 31 pounds,Carnivore,-
Cinnamon Ferret,Unknown,-,2-5 pounds,Carnivore,-
Clouded Leopard,"Less than 10,000",40 mph,11kg - 30kg (24lbs - 66lbs),Carnivore,-
Clownfish,-,-,250 grams,Omnivore,-
Clumber Spaniel,-,-,29kg (65lbs),Omnivore,-
Coachwhip Snake,-,-,-,Omnivore,-
Coati,-,15 mph,3-8kg (6-18lbs),Omnivore,-
Cobia Fish,"At least 80,000",-,Up to 135 pounds,Carnivore,-
Cockalier,-,-,-,Omnivore,-
Cockapoo,-,-,-,Omnivore,-
Cockatiel,"Undetermined, but conservation status is least concern",43 mph,3.17 ounces,Herbivore,-
Cockatoo,-,-,"300g – 1,200g (0.66lbs – 2.65lbs)",Omnivore,-
Cocker Spaniel,-,-,-,Omnivore,-
Cockroach,Billions,-,30 grams,Omnivore,-
Codfish,Unknown,-,33-212lbs (15-96kg),Carnivore,-
Coelacanth,Hundreds or thousands,-,Up to 200lbs,Carnivore,-
Collared Peccary,-,-,9kg - 27kg (20lbs- 60lbs),Omnivore,-
Collett’s Snake,-,-,-,Omnivore,-
Collie,-,-,34kg (75lbs),Omnivore,-
Colossal Squid,-,-,1300lbs,Carnivore,-
Common Buzzard,-,25 mph,400g - 1400g (15oz - 48oz),Carnivore,-
Common European Adder,-,-,-,Carnivore,-
Common Frog,-,5 mph,20g - 80g (0.7oz - 2.8oz),Carnivore,-
Common Furniture Beetle,Unknown,-,1-10mg,Herbivore,-
Common House Spider,-,1 mph,Less than 1 ounce,Carnivore,-
Common Loon,-,-,3kg - 5kg (6.6lbs - 11lbs),Omnivore,-
Common Raven,16 million,40 mph,1.5 to 3.6 pounds,Omnivore,-
Common Toad,-,5 mph,20g - 80g (0.7oz - 2.8oz),Carnivore,-
Conger Eel,-,-,"10 - 160 lbs average, 350 lbs largest",Carnivore,-
Congo Snake,-,-,-,Carnivore,-
Cookiecutter Shark,Unknown,-,-,Carnivore,-
Cooper’s Hawk,"100,000-1,000,000",-,0.45kg-0.7kg (1lbs-1.5lbs),Carnivore,-
Copperhead,-,-,-,Carnivore,-
Coral,-,-,-,Omnivore,-
Coral Snake,-,-,-,Carnivore,-
Corgidor,-,-,-,Omnivore,-
Corgipoo,-,-,-,Omnivore,-
Corkie,-,-,20 lbs,Omnivore,-
Corman Shepherd,-,-,70 lbs,Omnivore,-
Corn Rex Cat (Cornish Rex),-,-,5-10 pounds,Omnivore,-
Corn Snake,-,-,-,Carnivore,-
Coton de Tulear,-,-,-,Omnivore,-
Cotton-top Tamarin,-,24 mph,220g - 900g (7.7oz - 32oz),Omnivore,-
Cottonmouth,-,-,-,Carnivore,-
Cougar,-,30 mph,29kg - 90kg (64lbs - 198lbs),Carnivore,-
Cow,-,25 mph,"400kg - 800kg (881lbs - 1,760lbs)",Herbivore,-
Coyote,-,40 mph,7kg - 21kg (15lbs - 46lbs),Carnivore,-
Crab,-,12 mph,"100g - 2,000g (3.5oz - 704oz)",Carnivore,-
Crab Spider,-,-,-,Omnivore,-
Crab-Eating Macaque,-,30 mph,3kg - 9kg (7lbs - 20lbs),Carnivore,-
Crabeater Seal,7 to 70 million,15 mph,Up to 600 pounds,Carnivore,-
Crane,-,25 mph,3.7kg - 10kg (8.2lbs - 22lbs),Omnivore,-
Crappie Fish,Unknown.,-,-,Omnivore,-
Crested Gecko,-,30 mph,1.06 to 1.23 ounces,Omnivore,-
Crested Penguin,-,-,3kg - 6kg (6.6lbs - 13lbs),Carnivore,-
Cricket,-,3.5 mph,200-800mg,Omnivore,-
Crocodile,Unknown,25 mph,"18kg - 1,000kg (40lbs - 2,200lbs)",Carnivore,-
Cross Fox,Tens of thousands,31 mph,-,Carnivore,-
Cross River Gorilla,-,25 mph,100kg - 200kg (220lbs - 440lbs),Herbivore,-
Crow,27 million,59 mph,11-21 ounces,Omnivore,-
Crucian Carp,Abundant,2.7 mph,4.4lbs to 6.6lbs,Omnivore,-
Cuban Cockroach,Unknown,4 mph,-,Omnivore,-
Cuckoo,between 25 and 100 million birds,19 mph,.5 ounces to 1.4 ounces,Omnivore,-
Curly Coated Retriever,-,-,95 lbs,Omnivore,-
Cuscus,-,15 mph,3kg - 6kg (6.5lbs - 13lbs),Herbivore,-
Cuttlefish,-,-,3kg - 10.5kg (6.6lbs - 23lbs),Carnivore,-
Czechoslovakian Wolfdog,-,62 mph,-,Omnivore,-
Dachsador,-,-,40 lbs,Omnivore,-
Dachshund,-,-,32 lbs,Omnivore,-
Dapple Dachshund,-,-,16 to 32 pounds (standards); 11 pounds or less (miniature),Omnivore,-
Death’s Head Cockroach,Millions,-,less than 1 ounce,Omnivore,-
Deathwatch Beetle,Unknown,-,1-5mg,Herbivore,-
Deer Head Chihuahua,-,-,12 lbs,Omnivore,-
Deer Tick,-,-,-,Omnivore,-
Desert Locust,-,19 mph,2 grams,Herbivore,-
Deutsche Bracke,-,-,18kg (40lbs),Omnivore,-
Devils Coach Horse Beetle,-,-,10-50mg,Carnivore,-
Discus,Unknown,-,150g – 250g,Omnivore,-
Doberman Pinscher,-,-,40kg (88lbs),Omnivore,-
Dog Tick,-,-,-,Omnivore,-
Douc,"About 26,000 or less. The conservation status of all species of douc is critically endangered.",-,18 to 24 pounds,Herbivore,-
Draco Volans Lizard,Unknown but conservation status is Least Concern.,17 mph,0.73 ounces,Carnivore,-
Dubia Cockroach,-,3 mph,0.105 g,Omnivore,-
Duck,-,88 mph,0.7kg - 1.4kg (1.5lbs - 3lbs),Omnivore,-
Dunnock,25-44 million mature individuals,-,19-24g (0.6-0.9oz),Omnivore,-
Dwarf Crocodile,"25,000 - 100,000",11 mph,18kg - 32kg (40lbs - 70lbs),Carnivore,-
Eastern Barred Bandicoot,"10,000-100,000",12 mph,-,Omnivore,-
Eastern Chipmunk,-,18 mph,2.33 to 5.30 ounces,Herbivore,-
